Opportunity No.,Reporting Status,Sales Outcome,Product,Industry,Region,Relative Strength in the segment,Profit of Customer in Million,Sales Value in Million,Profit %,WSES Proportion in Joint Bid,Leads Conversion Class
1,Lost,0,LearnSys,Banks,Africa,45,2.11,10.29,29,66,F
2,Won,1,GTMSys,Airline,UK,56,0.79,11.42,46,50,E
3,Lost,0,GTMSys,Capital Markets,UK,48,1.62,5.63,70,50,F
4,Won,1,GTMSys,Insurance,UK,58,0.09,10.17,46,56,E
5,Won,1,GTMSys,Others,UK,49,1.46,10.6,32,54,V
6,Lost,0,Lifesys,Others,Other Europe,64,0.94,6.8,65,52,F
7,Lost,0,Finsys,Consumer goods,UK,54,1.32,5.25,50,68,V
8,Lost,0,Finsys,Consumer goods,UK,54,1.09,7.3,74,48,V
9,Lost,0,GTMSys,Health,UK,67,1.3,6.53,46,56,L
10,Lost,0,Finsys,Consumer goods,UK,54,1.32,9.69,57,63,L
11,Won,1,Lifesys,Capital Markets,Other Europe,47,0.36,6.74,50,65,V
12,Lost,0,GTMSys,Telecom equipments,Spain,66,0.9,11.45,58,50,L
13,Lost,0,Procsys,Consumer goods,UK,53,0.81,5.85,60,78,E
14,Lost,0,GTMSys,Banks,UK,61,0.79,7.68,58,45,E
15,Lost,0,GTMSys,Others,UK,49,2.11,7.69,46,54,V
16,Won,1,GTMSys,Capital Markets,Other Europe,41,0.34,7.88,44,69,V
17,Lost,0,GTMSys,Capital Markets,UK,48,1.07,9.67,66,54,E
18,Lost,0,GTMSys,Banks,Americas,43,1.07,4.16,61,63,L
19,Lost,0,GTMSys,Defense,Americas,50,0.96,7.68,55,63,F
20,Won,1,GTMSys,Banks,Americas,43,0.7,10.8,42,60,V
21,Won,1,GTMSys,Defense,Other Europe,30,0.98,6.89,47,61,V
22,Lost,0,GTMSys,Banks,Americas,43,1.29,8.01,61,63,F
23,Lost,0,Lifesys,Others,Other Europe,64,2.31,9.36,38,66,F
24,Lost,0,GTMSys,Others,UK,49,1.11,6.71,56,35,E
25,Won,1,GTMSys,Defense,Africa,25,0.15,9.85,52,68,E
26,Won,1,LearnSys,Capital Markets,UK,40,0.58,6.82,40,55,V
27,Lost,0,Lifesys,Consumer goods,UK,46,0.81,5.96,69,63,E
28,Lost,0,Procsys,Energy,UK,34,1.47,8.36,52,59,E
29,Won,1,Lifesys,Mobility,Canada,10,1.43,9.43,36,57,V
30,Lost,0,Finsys,Consumer goods,UK,54,1.25,5.5,56,55,E
31,Lost,0,GTMSys,Others,Other Europe,69,1.01,6.97,45,56,V
32,Lost,0,GTMSys,Capital Markets,UK,48,1.29,8.73,49,60,V
33,Lost,0,Finsys,Capital Markets,UK,60,0.85,6.08,51,60,F
34,Won,1,GTMSys,Banks,UK,61,0.59,6.53,49,50,F
35,Lost,0,GTMSys,Airline,UK,56,1.31,5.92,54,67,F
36,Lost,0,Lifesys,Others,Other Europe,64,1.28,8.72,34,59,V
37,Lost,0,LearnSys,Defense,UK,51,1.36,7.35,57,63,F
38,Lost,0,GTMSys,Banks,Africa,52,0.9,6.35,63,66,F
39,Won,1,Finsys,Consumer goods,UK,54,0.72,8.12,42,69,V
40,Lost,0,Finsys,Capital Markets,UK,60,1,6.04,59,44,E
41,Won,1,GTMSys,Others,UK,49,0.72,6.14,50,56,L
42,Won,1,Lifesys,Others,Other Europe,64,0,9.32,45,56,L
43,Won,1,GTMSys,Finance,UK,55,0.43,7.32,38,46,L
44,Won,1,Logissys,Mobility,UK,35,1.1,7.42,56,63,E
45,Won,1,GTMSys,Defense,Americas,50,1.21,5.69,41,58,E
46,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.45,10.58,59,57,V
47,Lost,0,GTMSys,Others,UK,49,2.31,6.07,70,61,E
48,Lost,0,GTMSys,Airline,UK,56,1.8,5.77,46,48,F
49,Lost,0,Procsys,Clinical research,UK,70,1.18,10.04,52,41,F
50,Lost,0,Lifesys,Others,Other Europe,64,1.03,7.19,59,68,F
51,Won,1,GTMSys,Others,Other Europe,69,0.89,7.18,38,77,F
52,Lost,0,Procsys,Capital Markets,Americas,28,2.46,8.55,44,76,E
53,Lost,0,GTMSys,Insurance,UK,58,0.73,8.86,61,55,E
54,Won,1,GTMSys,Others,UK,49,0.46,9.8,42,49,E
55,Won,1,GTMSys,Health,UK,67,0.17,7.08,57,55,E
56,Won,1,GTMSys,Finance,UK,55,0.61,10.62,40,78,V
57,Lost,0,GTMSys,Defense,Americas,50,1.51,4.09,67,78,V
58,Lost,0,LearnSys,Defense,UK,51,1.25,10.69,57,60,F
59,Lost,0,Procsys,Consumer goods,UK,53,1.51,6.39,65,60,F
60,Won,1,Procsys,Security,Americas,68,-0.45,7.56,57,47,V
61,Lost,0,Finsys,Capital Markets,UK,60,1.07,4.97,61,57,V
62,Lost,0,GTMSys,Banks,Africa,52,1.48,10.09,42,65,V
63,Won,1,GTMSys,Others,UK,49,0.57,8.43,63,58,L
64,Lost,0,Procsys,Consumer goods,UK,53,0.92,5.85,62,72,E
65,Won,1,GTMSys,Others,Africa,39,0.6,7.48,58,73,V
66,Won,1,Procsys,Infrastructure,UK,37,0.74,11.7,47,74,F
67,Lost,0,Finsys,Capital Markets,Other Europe,57,1.67,10.18,58,57,E
68,Lost,0,GTMSys,Capital Markets,UK,48,0.96,11.17,62,51,E
69,Won,1,GTMSys,Finance,UK,55,1.29,6.1,39,62,V
70,Won,1,Procsys,Mobility,Canada,29,1.43,9.25,34,56,E
71,Won,1,GTMSys,Capital Markets,UK,48,1.42,10.79,43,69,E
72,Lost,0,Finsys,Consumer goods,UK,54,1.52,7.38,46,100,E
73,Lost,0,LearnSys,Defense,UK,51,1.79,7.92,43,44,V
74,Lost,0,GTMSys,Banks,Africa,52,1.45,8.19,53,67,E
75,Won,1,Procsys,Consumer goods,UK,53,0.81,9.31,33,70,V
76,Won,1,GTMSys,Others,UK,49,0.99,6.96,55,68,E
77,Won,1,Lifesys,Capital Markets,Other Europe,47,1.27,8.5,45,67,V
78,Lost,0,GTMSys,Airline,UK,56,0.98,9.03,58,35,V
79,Won,1,Procsys,Security,India,44,1.2,9.39,37,67,V
80,Lost,0,Procsys,Insurance,UK,75,0.76,4.89,40,58,V
81,Lost,0,LearnSys,Defense,UK,51,1.15,10.48,64,47,V
82,Won,1,Finsys,Consumer goods,UK,54,0.59,8.31,51,66,V
83,Won,1,GTMSys,Insurance,UK,58,0.85,7.5,36,51,E
84,Won,1,GTMSys,Others,UK,49,0.69,7.64,52,54,V
85,Won,1,Procsys,Security,India,44,1.14,10.19,36,72,V
86,Lost,0,GTMSys,Airline,UK,56,2.11,8.2,33,55,F
87,Lost,0,Finsys,Consumer goods,UK,54,1.41,4.49,57,50,V
88,Lost,0,Lifesys,Consumer goods,UK,46,1.33,6.76,53,57,E
89,Lost,0,Finsys,Capital Markets,UK,60,1.54,12.99,47,55,L
90,Won,1,GTMSys,Banks,Africa,52,0.3,8.96,44,49,L
91,Won,1,GTMSys,Capital Markets,Other Europe,41,1.63,9.61,35,49,V
92,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.18,5.96,49,49,E
93,Lost,0,LearnSys,Capital Markets,UK,40,0.87,7.87,63,52,V
94,Lost,0,GTMSys,Defense,Japan,63,0.53,11.7,54,52,E
95,Lost,0,GTMSys,Banks,Singapore,65,0.95,6.69,74,70,E
96,Lost,0,Finsys,Capital Markets,Other Europe,57,0.91,8.17,77,72,F
97,Lost,0,Finsys,Capital Markets,Other Europe,57,1.9,9.3,73,100,F
98,Lost,0,GTMSys,Capital Markets,UK,48,1.5,5.52,69,59,F
99,Lost,0,Lifesys,Capital Markets,Other Europe,47,0.87,9.44,68,51,V
100,Lost,0,GTMSys,Banks,UK,61,1.2,7.19,49,63,V
101,Lost,0,GTMSys,Banks,UK,61,2.11,7.52,39,65,L
102,Lost,0,GTMSys,Banks,Americas,43,1.22,9.06,51,50,L
103,Won,1,LearnSys,Capital Markets,UK,40,0.16,8.22,49,38,L
104,Lost,0,GTMSys,Banks,Singapore,65,1.64,5.78,38,72,E
105,Lost,0,Procsys,Consumer goods,UK,53,1.03,12.18,66,65,E
106,Won,1,Logissys,Govt.,UK,36,0.68,10.12,61,67,V
107,Lost,0,Procsys,Security,India,44,1.39,6.29,61,54,E
108,Won,1,LearnSys,Capital Markets,UK,40,0.76,6.85,47,47,L
109,Won,1,Finsys,Insurance,UK,31,0.56,8.06,58,60,F
110,Lost,0,Lifesys,Others,Other Europe,64,1.05,10.09,57,58,F
111,Lost,0,LearnSys,Capital Markets,UK,40,1.84,7.28,65,68,F
112,Won,1,Lifesys,Capital Markets,Other Europe,47,0.99,9.03,39,65,E
113,Won,1,Procsys,Infrastructure,UK,37,0.38,8.1,47,64,E
114,Lost,0,Procsys,Security,Americas,68,1.17,7.16,50,45,E
115,Won,1,Lifesys,Consumer goods,UK,46,1.1,5.89,46,90,E
116,Won,1,GTMSys,Capital Markets,UK,48,0.31,5.17,41,70,V
117,Won,1,GTMSys,Others,Americas,38,0.57,10.28,55,61,V
118,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.26,11.55,55,63,F
119,Lost,0,GTMSys,Defense,Americas,50,0.96,6.06,65,72,F
120,Lost,0,Procsys,Security,India,44,1.49,5.67,59,48,V
121,Lost,0,LearnSys,Energy,UK,42,1.25,4.91,68,69,F
122,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.65,7.85,46,68,F
123,Won,1,Lifesys,Defense,UK,20,1.64,9.21,48,75,E
124,Lost,0,Finsys,Consumer goods,UK,54,1.18,6.15,50,71,V
125,Lost,0,GTMSys,Finance,UK,55,1.01,3.77,53,59,E
126,Lost,0,GTMSys,Insurance,UK,58,1.69,8.5,57,59,F
127,Lost,0,GTMSys,Airline,UK,56,1.73,6.8,43,67,F
128,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.34,5.54,50,50,F
129,Lost,0,GTMSys,Banks,UK,61,1.24,9.02,41,56,E
130,Lost,0,GTMSys,Others,Africa,39,1.54,9.5,64,57,E
131,Won,1,Procsys,Mobility,Canada,29,1.39,6.88,34,57,V
132,Lost,0,Finsys,Capital Markets,Other Europe,57,1.2,8.28,53,67,F
133,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.62,9.31,52,66,F
134,Lost,0,Finsys,Consumer goods,UK,54,1,8.35,51,52,V
135,Lost,0,GTMSys,Others,Africa,39,1.33,11.24,50,63,V
136,Won,1,LearnSys,Capital Markets,UK,40,0.39,7.6,52,58,E
137,Won,1,LearnSys,Energy,UK,42,-0.33,9.81,57,64,E
138,Lost,0,GTMSys,Telecom equipments,Spain,66,1.02,6.08,56,73,E
139,Won,1,GTMSys,Banks,Africa,52,0.54,5.08,62,63,E
140,Lost,0,GTMSys,Banks,UK,61,1.39,6.21,54,68,V
141,Won,1,GTMSys,Defense,Americas,50,0.77,4.38,32,65,E
142,Lost,0,GTMSys,Finance,UK,55,1.42,10.85,46,55,V
143,Won,1,GTMSys,Airline,UK,56,-0.08,5.39,35,64,V
144,Lost,0,Procsys,Energy,UK,34,1.58,9.89,45,56,V
145,Won,1,GTMSys,Others,UK,49,0.79,7.53,41,67,F
146,Won,1,Procsys,Energy,UK,34,1.2,9.37,58,68,V
147,Won,1,LearnSys,Banks,Africa,45,0.87,7.02,45,61,E
148,Lost,0,Finsys,Consumer goods,UK,54,1.38,7.38,44,66,L
149,Won,1,GTMSys,Capital Markets,Other Europe,41,0.31,9.57,33,51,E
150,Won,1,GTMSys,Capital Markets,UK,48,1.01,10.42,64,100,V
151,Lost,0,GTMSys,Capital Markets,UK,48,1.53,8.74,64,60,E
152,Lost,0,LearnSys,Defense,UK,51,2.11,11.31,54,61,E
153,Won,1,Finsys,Capital Markets,UK,60,0.36,7.47,55,52,E
154,Lost,0,GTMSys,Finance,UK,55,1.08,9.6,64,59,L
155,Lost,0,Procsys,Security,India,44,1.22,8,50,62,E
156,Won,1,LearnSys,Banks,Africa,45,0.93,7.18,52,53,E
157,Won,1,GTMSys,Others,Americas,38,0.87,7.73,53,49,E
158,Lost,0,LearnSys,Banks,Africa,45,0.78,6.2,60,52,V
159,Won,1,Finsys,Consumer goods,UK,54,-0.13,9.39,37,53,L
160,Lost,0,LearnSys,Defense,UK,51,0.71,10.58,71,64,E
161,Won,1,GTMSys,Banks,Americas,43,0.68,4.73,55,63,E
162,Won,1,Lifesys,Capital Markets,Other Europe,47,0.33,8.49,59,66,V
163,Won,1,Procsys,Security,India,44,0.53,5.9,65,55,L
164,Won,1,GTMSys,Others,UK,49,0.69,11.1,41,45,V
165,Lost,0,LearnSys,Energy,UK,42,1.77,7.38,62,47,F
166,Lost,0,GTMSys,Others,Other Europe,69,1.33,7.97,51,48,V
167,Won,1,Procsys,Infrastructure,UK,37,0.12,9.93,32,55,E
168,Won,1,Procsys,Energy,UK,34,0.06,8.48,40,69,E
169,Lost,0,Finsys,Capital Markets,Other Europe,57,0.71,9.55,73,68,V
170,Won,1,GTMSys,Insurance,UK,58,0.75,6.79,40,56,E
171,Won,1,Procsys,Energy,UK,34,1.43,3.08,37,70,L
172,Won,1,ContactSys,Banks,UK,59,0.61,8.71,46,45,E
173,Won,1,Procsys,Infrastructure,UK,37,1.11,8.22,46,48,V
174,Lost,0,Finsys,Capital Markets,UK,60,0.83,7.52,58,64,E
175,Won,1,Lifesys,Consumer goods,UK,46,0.68,10.22,58,66,V
176,Lost,0,Finsys,Infrastructure,UK,62,1.62,7.76,56,63,V
177,Lost,0,Procsys,Capital Markets,Americas,28,1.68,7.35,52,53,L
178,Won,1,Procsys,Security,India,44,0.59,8.33,26,70,V
179,Lost,0,GTMSys,Airline,UK,56,0.98,9.88,70,71,L
180,Lost,0,Lifesys,Capital Markets,Other Europe,47,1.36,6.33,52,51,L
181,Lost,0,GTMSys,Capital Markets,Other Europe,41,1.56,8.22,42,38,E
182,Lost,0,Finsys,Capital Markets,UK,60,1.84,6.54,52,53,E
183,Won,1,LearnSys,Capital Markets,UK,40,0.56,9.26,46,52,E
184,Won,1,LearnSys,Energy,UK,42,1.22,6.34,45,54,E
