customer_id,recency_days,transaction_count,amount,recency_score,frequency_score,monetary_score,rfm_score
22086,232,9,777,2,2,2,222
2290,115,16,1555,4,5,5,455
26377,43,5,336,5,1,1,511
24650,64,12,1189,5,4,4,544
12883,23,12,1229,5,4,5,545
2119,72,11,929,5,4,3,543
31283,112,17,1569,4,5,5,455
33815,142,11,778,3,4,2,342
15972,43,9,641,5,2,2,522
27650,131,10,970,3,3,3,333
4168,266,9,730,1,2,2,122
23375,371,9,798,1,2,2,122
7460,96,10,980,4,3,3,433
31412,170,14,1596,3,5,5,355
4298,333,13,1105,1,5,4,154
11217,126,7,673,3,1,2,312
27435,18,7,793,5,1,2,512
22756,246,8,652,2,2,2,222
14737,133,12,1081,3,4,4,344
38027,181,8,712,2,2,2,222
35527,161,11,1060,3,4,4,344
21182,152,9,790,3,2,2,322
35926,231,13,1248,2,5,5,255
2091,284,9,789,1,2,2,122
16555,156,8,794,3,2,2,322
7868,101,10,700,4,3,2,432
16526,150,10,855,3,3,3,333
12370,201,6,793,2,1,2,212
32863,124,11,793,4,4,2,442
11206,154,14,1220,3,5,4,354
16677,422,5,220,1,1,1,111
2718,78,16,1633,4,5,5,455
35549,152,9,812,3,2,2,322
39729,77,10,1231,4,3,5,435
16563,78,16,1380,4,5,5,455
14317,81,9,918,4,2,3,423
27557,208,10,981,2,3,3,233
16094,410,7,631,1,1,1,111
10725,538,6,537,1,1,1,111
27531,37,18,1804,5,5,5,555
35774,455,9,994,1,2,3,123
18357,43,18,1561,5,5,5,555
18377,138,9,562,3,2,1,321
12558,197,10,909,2,3,3,233
2036,11,3,216,5,1,1,511
15489,117,11,1185,4,4,4,444
1811,109,9,978,4,2,3,423
38345,139,9,794,3,2,2,322
6116,274,7,450,1,1,1,111
30839,38,10,943,5,3,3,533
17548,164,8,691,3,2,2,322
31140,124,10,1143,4,3,4,434
9338,284,3,309,1,1,1,111
5437,136,14,1154,3,5,4,354
38672,108,10,859,4,3,3,433
6662,168,10,1388,3,3,5,335
32799,509,6,724,1,1,2,112
23565,278,8,1240,1,2,5,125
17474,398,11,1256,1,4,5,145
20635,87,10,922,4,3,3,433
2057,10,11,921,5,4,3,543
10176,165,5,370,3,1,1,311
7409,316,7,693,1,1,2,112
36111,22,13,1068,5,5,4,554
16700,118,11,1138,4,4,4,444
6203,249,7,394,2,1,1,211
4641,176,17,1370,3,5,5,355
38766,370,12,1378,1,4,5,145
39138,264,14,1460,2,5,5,255
23711,290,11,1146,1,4,4,144
29815,35,14,1505,5,5,5,555
1552,203,9,682,2,2,2,222
14070,39,10,1023,5,3,4,534
11698,359,5,554,1,1,1,111
2837,65,11,1117,5,4,4,544
15039,109,9,891,4,2,3,423
35252,377,12,1131,1,4,4,144
7414,97,18,2031,4,5,5,455
36920,12,11,1098,5,4,4,544
2094,34,10,940,5,3,3,533
1027,121,10,951,4,3,3,433
19104,456,9,739,1,2,2,122
22573,68,15,1489,5,5,5,555
16910,218,9,982,2,2,3,223
28412,176,10,1045,3,3,4,334
7025,42,11,1089,5,4,4,544
25933,99,12,973,4,4,3,443
13586,133,11,812,3,4,2,342
18695,100,9,1007,4,2,4,424
22278,94,11,1093,4,4,4,444
25897,164,12,935,3,4,3,343
17131,779,4,497,1,1,1,111
33971,156,9,541,3,2,1,321
9920,54,15,1860,5,5,5,555
34568,123,10,1121,4,3,4,434
26537,225,11,1078,2,4,4,244
9016,224,8,777,2,2,2,222
39972,98,12,1236,4,4,5,445
31644,95,13,1388,4,5,5,455
3626,59,5,613,5,1,1,511
22867,77,9,847,4,2,3,423
26253,277,5,549,1,1,1,111
14938,56,9,968,5,2,3,523
30444,164,10,980,3,3,3,333
26680,73,8,779,5,2,2,522
18260,127,6,719,3,1,2,312
31835,192,9,958,2,2,3,223
28602,324,5,261,1,1,1,111
38433,133,16,1652,3,5,5,355
33465,425,10,902,1,3,3,133
22188,74,9,735,5,2,2,522
21572,262,3,544,2,1,1,211
18108,212,6,777,2,1,2,212
29137,515,7,707,1,1,2,112
30644,234,8,807,2,2,2,222
15440,220,9,1028,2,2,4,224
21382,236,17,1789,2,5,5,255
269,83,13,1339,4,5,5,455
3324,316,10,867,1,3,3,133
13234,67,10,907,5,3,3,533
18608,180,14,1277,2,5,5,255
2327,103,10,996,4,3,3,433
20670,310,7,770,1,1,2,112
9105,292,9,803,1,2,2,122
19342,39,12,805,5,4,2,542
31640,421,9,924,1,2,3,123
36454,290,7,538,1,1,1,111
38816,154,9,814,3,2,2,322
19635,139,12,891,3,4,3,343
31330,78,14,1072,4,5,4,454
8077,54,15,1328,5,5,5,555
27347,433,7,717,1,1,2,112
35369,98,19,1972,4,5,5,455
14603,208,7,696,2,1,2,212
14486,90,12,1482,4,4,5,445
8631,136,10,809,3,3,2,332
32709,395,11,1172,1,4,4,144
305,94,10,873,4,3,3,433
20591,194,11,880,2,4,3,243
1335,128,11,957,3,4,3,343
7068,177,16,1286,2,5,5,255
35342,30,14,1267,5,5,5,555
3357,121,12,1276,4,4,5,445
16912,86,14,1636,4,5,5,455
2568,160,10,1296,3,3,5,335
6229,295,8,531,1,2,1,121
25323,199,11,1269,2,4,5,245
13459,209,7,854,2,1,3,213
7870,72,7,690,5,1,2,512
29419,129,12,1365,3,4,5,345
8468,55,14,1558,5,5,5,555
36430,784,3,286,1,1,1,111
34120,146,15,1504,3,5,5,355
8391,40,8,840,5,2,3,523
9873,66,11,1170,5,4,4,544
27524,149,4,539,3,1,1,311
3031,25,18,1802,5,5,5,555
30183,399,7,699,1,1,2,112
31579,79,8,797,4,2,2,422
25670,69,6,611,5,1,1,511
19918,184,6,645,2,1,2,212
7615,147,16,1477,3,5,5,355
3256,946,1,11,1,1,1,111
1767,167,8,662,3,2,2,322
8721,78,11,1111,4,4,4,444
11279,258,9,608,2,2,1,221
33656,545,4,571,1,1,1,111
9346,29,6,243,5,1,1,511
13446,440,5,406,1,1,1,111
29811,133,11,1231,3,4,5,345
17234,378,14,1378,1,5,5,155
35229,3,10,635,5,3,1,531
19451,113,10,760,4,3,2,432
722,136,16,1586,3,5,5,355
6787,151,8,626,3,2,1,321
32140,171,9,709,3,2,2,322
8422,3,11,865,5,4,3,543
14498,53,13,1024,5,5,4,554
33155,247,9,1030,2,2,4,224
19798,263,16,1384,2,5,5,255
16692,172,13,1746,3,5,5,355
11378,229,6,597,2,1,1,211
28246,36,9,893,5,2,3,523
37743,202,13,1228,2,5,5,255
35359,98,14,1103,4,5,4,454
15429,214,11,1121,2,4,4,244
22652,143,15,1319,3,5,5,355
27115,241,5,601,2,1,1,211
5219,184,9,482,2,2,1,221
29602,85,7,665,4,1,2,412
9847,156,6,667,3,1,2,312
39067,54,11,904,5,4,3,543
22172,74,10,898,5,3,3,533
5151,160,12,1064,3,4,4,344
34388,37,7,644,5,1,2,512
35476,93,6,406,4,1,1,411
26036,102,9,969,4,2,3,423
27266,211,12,1359,2,4,5,245
33933,203,9,717,2,2,2,222
15808,636,2,143,1,1,1,111
24956,67,13,1356,5,5,5,555
37891,193,11,1248,2,4,5,245
14730,166,7,658,3,1,2,312
15596,29,11,775,5,4,2,542
22757,326,9,861,1,2,3,123
12960,80,6,461,4,1,1,411
17190,229,13,1287,2,5,5,255
7393,244,7,527,2,1,1,211
27507,68,13,1259,5,5,5,555
38046,201,10,912,2,3,3,233
28789,83,13,1508,4,5,5,455
33551,447,9,807,1,2,2,122
21616,87,16,995,4,5,3,453
38869,177,13,1436,2,5,5,255
7757,95,11,1095,4,4,4,444
20083,87,14,1128,4,5,4,454
4697,398,3,224,1,1,1,111
19776,121,13,1073,4,5,4,454
16705,173,16,1439,3,5,5,355
22004,354,11,1454,1,4,5,145
10972,97,10,1071,4,3,4,434
5936,174,11,1118,3,4,4,344
2521,124,10,1262,4,3,5,435
31716,187,10,1314,2,3,5,235
22410,114,5,492,4,1,1,411
37614,135,14,1372,3,5,5,355
177,357,7,457,1,1,1,111
31226,512,3,118,1,1,1,111
396,151,8,626,3,2,1,321
10584,201,10,1209,2,3,4,234
24522,25,8,578,5,2,1,521
20085,71,12,886,5,4,3,543
18122,471,5,559,1,1,1,111
10914,132,7,844,3,1,3,313
31578,327,17,1703,1,5,5,155
1658,90,9,933,4,2,3,423
31570,169,9,769,3,2,2,322
32149,85,6,657,4,1,2,412
11336,437,3,202,1,1,1,111
3356,79,9,932,4,2,3,423
34920,47,10,763,5,3,2,532
867,183,9,732,2,2,2,222
37814,185,11,851,2,4,3,243
33666,94,13,1043,4,5,4,454
39210,505,4,142,1,1,1,111
21650,62,13,635,5,5,1,551
38760,29,9,748,5,2,2,522
32778,204,8,799,2,2,2,222
29092,273,15,1267,1,5,5,155
23007,499,3,321,1,1,1,111
26203,52,10,1116,5,3,4,534
10910,444,7,781,1,1,2,112
27285,33,8,790,5,2,2,522
37197,130,14,1400,3,5,5,355
29609,178,12,1025,2,4,4,244
32621,53,12,1244,5,4,5,545
18086,98,10,1058,4,3,4,434
8824,99,8,917,4,2,3,423
17480,194,14,1238,2,5,5,255
30005,239,13,1405,2,5,5,255
